Site Name,Services,Cost,Latitude,Longitude,Site Type,Comments
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,68.157902,13.6925,Mixed Parking,Good Overnight sport with lovely views to mountains and coastline. Small tarmac bays or grass parking. 
,Trash,€0.00,68.199319,13.529272,Mixed Parking,Great wild camping spot right on the beach. No facilities. Parking area consists of hard surface with sand and grass areas. Easy to find flat spot. Top and bottom car park.
,Fresh WaterBlack WaterGrey WaterTrash,€0.00,67.948413,13.135675,Mixed Parking,"Small car park with service station. Fres, grey and black water.parking option overlooking fishing boats and small harbours"
,,€0.00,68.101443,13.248561,Wild,Quiet spare land on outskirts of village. Two minutes to the beach and great views over headland. No immediate facilities
,,€0.00,70.05416,22.98381,Wild,"Superb spot right on the water, Covered BBQ stations also there."
,,€0.00,68.233063,14.531244,Mixed Parking,Kiwi car park
Tvindefossen,Black WaterGrey WaterFresh WaterTrashToiletsShowersElectric,€0.00,60.725775,6.490293,Campsite,Didn't actually stop at the campsite but stopped at the waterfall next to site. Brilliant location
,,€0.00,60.892777,6.495689,Wild,"Middle of Voss Vikafjellet with amazing valley walls, streams, waterfalls and snow. Brilliant wild camping spot. Hotel, cafe and shop about 10km back towards Voss"
,,€0.00,69.51235,20.70126,Mixed Parking,Popular spot for fishermen too.
,,€0.00,69.94101,22.04641,Wild,"Area next to the lake, nice spot and can be popular."
,TrashToilets,€0.00,70.668883,25.52885,Mixed Parking,"Picnic area on a small pebble bay, Sami shop opposite. "
,,,70.5381,25.138897,,Parking near the water.
,ToiletsTrashElectricGrey WaterBlack WaterFresh Water,€0.00,60.328355,6.338075,Mixed Parking,"Small picnic spot / rest stop with clean toilets, fresh water and electric point. Very quiet and flat. Lovely views out to the fjord and only a small walk to village of Herand where there is a shop, fuel and restaurant. At time of writing, Herand aire was closed due to repairs."
,Black WaterGrey WaterFresh WaterTrashToilets,€0.00,60.241068,5.743214,Mixed Parking,Perect little wild camping spot. Lawn with view over fjord and supermarket behind for any bite of shopping.
,,€0.00,62.566649,7.693576,Mixed Parking,Dedicated motorhome parking at the side of the fjord and railway station. Clean and flat but nothing special. Opposite side of rail track is specifically for train passengers and if you park near waters edge or slip then potential fine.
,,€0.00,62.741333,7.225358,Wild,"Great view of 47 peaks over water. Level, grass parking spot with small beach cove."
,,€0.00,63.013474,7.330249,Mixed Parking,Small lay-by on Atlantic Road. Plenty stoping points but be mindful some are private and charge high fees.
,,€0.00,59.518614,10.682924,Mixed Parking,Flat tarmac car park overlooking the beautiful bay. 2 minutes walk to the beginning of the village and the marina with shops and cafes.
,Fresh WaterTrashToilets,€0.00,68.777605,16.589564,Mixed Parking,Halstad ferry car park (not the main ferry point) Just out of town near off an industrial estate. Better than it sounds.
,TrashToilets,€0.00,60.288824,5.673197,Wild,"Picnic area just set back of the main road, superb views and many walking route from behind the area. Tarmac level surface with lots of space."
,,€0.00,60.35133,5.359669,Wild,The aire is just down the road but it was full. This was the only spot we could find and it turned out to be quite quiet. Right next to tram if you want to visit Bergen.
,TrashToilets,€0.00,59.579286,9.173554,Mixed Parking,"Church car park with picnic facilities. Cafe on site too.Flat, tarmac with no parking fee but no parking between midnight and 6am.Located next to main road with views of surrounding hills."
,,€0.00,59.304199,9.101564,Wild,Small piece of land mainly used for launching small boats and jet ski. One picnic table.  Loose gravel or turf and level
,Fresh WaterGrey WaterBlack WaterTrashToiletsElectricShowers,€20.00,59.301878,9.043393,Campsite,Small campsite located in the heart of telemark amidst lush trees and rolling hills. You park overlooking one of the many lock systems on the telemark canal.  Great facilities and payment is honest boxNok 200
,,€0.00,59.302778,8.716911,Wild,Beautiful location right at the side of the canal/river.  Loose gravel under foot which is quite messy but easy to get level without chocs.  No services
Visitors Centre,,€50.00,71.16862,25.78253,Mixed Parking,"Nordd Cap visitors centre, price include entrance for 2 adults."
,Toilets,€0.00,70.66802,25.388514,Mixed Parking,Nice quiet spot for stopping on way to nordkapp. Nearest village is repvag.
,,€0.00,70.345577,25.076813,Wild,Good spot with nice views.
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,59.762226,10.06626,Wild,Great little picnic spot with facilities. Tarmac surface with nice views over countryside and lake. Set back from the roads so quiet.
,,€0.00,59.665616,9.651808,Mixed Parking,Kongsbergs Museum car park. Loose gravel but flat and over looking river.
,Trash,€0.00,59.354713,8.521809,Mixed Parking,Parking space with no restrictions at the historic collection of Norwegian houses. Flat and quiet but no services. Small cafe.
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,59.325503,8.485389,Rest Area & Services,"Car park / aire located right on the telemark canal. Flat, level and quiet with usual camper services. Small supermarket and petrol station close by."
,Fresh WaterTrashToilets,€0.00,59.445394,8.021827,Mixed Parking,"Flat, loose gravel car park right on waters edge. Picnic benches and cafes. "
,Fresh WaterBlack WaterTrashToilets,€0.00,59.231845,7.530469,Mixed Parking,Beautiful picnic spot just outside valle
,Fresh WaterTrashToilets,€0.00,58.941368,6.917779,Mixed Parking,"Tourist information car park. Flat and level on either tarmac or loose gravel.  Behind is a museum, farm, nice walk and golf course."
,Trash,€0.00,65.101235,13.342812,Mixed Parking,Nothing fancy but some where to stop and rest for an hour or overnight.
,,€0.00,65.537106,13.409852,Mixed Parking,School car park. Flat and level and only place we could find that was dry and clean. Good job it was a Saturday.
,Fresh WaterGrey WaterBlack WaterTrashElectric,€0.00,59.917775,10.675028,Rest Area & Services,Excellent spot for a capital city. Located right on the marina with beautiful views. Flat and level. Centre only 3 km away and ski centre 5 km.There is a charge for the aire but the machine is broke and so unable to pay and most people using the marina told us not to bother with fees.
,,€0.00,69.986705,23.306063,Wild,"Great spot close to the town and airport, probably best place to stay in the area."
Alta River,,€0.00,69.9323,23.262,Mixed Parking,"Great spot right on the Alta river, about 10 mins to Alta."
Alta museum,Trash,€0.00,69.946271,23.187151,Mixed Parking,Museum parking area
,Fresh WaterGrey WaterBlack WaterTrashToilets,€15.00,58.914439,6.037465,Mixed Parking,"Car park for  Preikestolen, Pulpits rock. NOK150"
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,59.017116,6.044062,Rest Area & Services,Nice flat location next to the marina. 
Lofoten Islands,Fresh WaterTrashToilets,€0.00,67.879865,12.977322,Mixed Parking,Superb little car park with public toilets. Access to village and museum only 5 minutes away or nice walks to coast line and salted cod drying frames. No restrictions on overnight or length of stay
,,€0.00,61.838386,6.80121,Mixed Parking,Small marine car park over looking water. Space for half a dozen cars. Mainly used by local fishermen
Melkevoll Bretun,Fresh WaterGrey WaterToiletsShowersElectricWi-Fi,€20.00,61.664,6.816657,Campsite,"Small family run campsite with great facilities including, washing, showers and sauna. On site cafe and little shop. BBQ area and plenty places to walk. Located at base of glacier valley - 45 minutes walk to the glacier.Website: www.melkevoll.no  Email: post@melkovall.no  Telephone: 4757873864"
,Trash,€0.00,60.549765,5.733891,Mixed Parking,"Level, tarmac car park at the train station. Access to the waters edge and great views over fjord just passed the train station. At time of visit rail track works under way so full of plant and machinery, so stationed on station car park"
,Trash,€0.00,60.301864,6.606176,Mixed Parking,Mixed car park with no restrictions and right on water edge.
,,€0.00,58.90022,6.778882,Mixed Parking,Small tarmac car park with a stunning view but no services.
,Trash,€0.00,58.91032,6.077744,Mixed Parking,No services but right on waters edge with picnic tables and lawned area looking down the fjord. Tarmac and level.
,,€0.00,59.347692,6.237133,Wild,Small piece of grassland on jut out of land. Access is hidden a little but located at base on small bridge and opposite fuel station.
,Trash,€0.00,59.483741,6.249967,Wild,Pier
,Fresh WaterGrey WaterBlack WaterTrashToiletsElectric,€0.00,59.644174,6.804176,Rest Area & Services,Great little free aire located right on the side of the fjord
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,61.510886,6.156805,Mixed Parking,Nice flat location next to lake. Mixed parking.
,Trash,€0.00,62.313778,7.291821,Mixed Parking,Mixed parking which permits overnight stays. Good views out to lake with local supermarket and petrol station behind.
,Fresh WaterTrashToilets,€0.00,62.590494,7.521183,Mixed Parking,Trollstigen car park and entrance to walk way. No restrictions on overnight but can get busy 
,Trash,€0.00,61.927336,7.018598,Mixed Parking,"Layby pick nick area by the main road, would be quite at night and great views across the water towards the mountains. Stryn town is a few km away though."
,,€0.00,60.627622,6.403919,Wild,No services but excellent wild camping spot just on the outskirts of Voss centre. Right on the water overlooking snow capped hills. Loose gravel but relatively flat.
Storehaugteunnelen,,€0.00,61.013394,6.543114,Wild,Flat layby with stunning views over the mountain tops and valleys below. No facilities but good for lunch or stop over.
Hive church,,€0.00,61.072005,6.58489,Mixed Parking,Car park at church. 
,,€0.00,61.171822,6.640416,Mixed Parking,"Best vantage point for several fjords. Small car park with 270 degree views. Flat, level tarmac but no services. Ferry point 5 minutes away."
,TrashToilets,€0.00,60.079873,6.528602,Mixed Parking,"Elevated overwater and view back towards town of Odda. Nice and quiet but waterfalls can be quite loud.Flat, level and clean.Behind are paths and walkways up in to the forest and waterfals"
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,70.0414,22.9527,Wild,"Parking near a pier, full services at the fuel station next door."
Turpitz museum,,€0.00,69.92382,23.02196,Wild,Super spot right on the fjord. Near Turpitz museum and 10 mins from Alta.
,,€0.00,68.234871,14.549823,Mixed Parking,Nice picnic area just outside of the town with great views and level tarmac. Toilet facilities being built at the time of visit.
,Trash,€0.00,68.651267,15.864158,Mixed Parking,Small lay-by beside the main road but with stunning views.
Cdim,Fresh WaterGrey WaterTrashToiletsBlack WaterShowersElectricWi-Fi,€20.00,50.022948,19.197942,Campsite,Hotel grounds. Very nice. Includes electric and services and wifi
Jasna Gora,,€0.00,50.810482,19.099232,Mixed Parking,"On road, free"
,,€0.00,51.75794,19.47361,Mixed Parking,Mixed car park at side of park.
Olenka nr 76,,€10.00,50.811381,19.090938,Campsite,15 pp plus 10 for mh.
,,€0.00,52.395942,20.309107,Mixed Parking,"Church and hostel car park. Free and no restrictions, so can park overnight. Fresh water tap as you walk under the archway in to church courtyard."
,,€0.00,52.108509,19.937699,Mixed Parking,
,,€0.00,53.937371,21.545451,Mixed Parking,Dirt / Grass area beside the marina.
Camping Adam,,€20.00,50.046655,19.902845,Campsite,50plz per camper plus 26 pp
Osir Eurocamping,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectricWi-Fi,€0.00,54.093062,22.916078,Campsite,Lovely big pitches and excellent shower favilites
Wolfs lair,Fresh WaterGrey WaterTrashToiletsShowersElectric,€0.00,54.079406,21.495294,Mixed Parking,Wolves lair parking overnight included in parking price 20pln. Inc free electric and water
,,€0.00,54.052846,21.454238,Mixed Parking,Lay by set back from the main road in a wooded area.
,,€0.00,51.897911,19.599877,Mixed Parking,Spare land beside a lake
,Trash,€0.00,37.108354,-8.673462,Mixed Parking,Street parking with no restrictions right next to marina and harbour at the bottom of the foot bridge which takes you straight in to old town.
,,€0.00,37.223614,-8.726125,Wild,"Good wild camping spot on edge of the reservoir,  very peaceful with the exception of odd cow bell."
,ToiletsTrash,€0.00,37.316459,-8.803403,Rest Area & Services,"Big parking space with no facilities, located at bottom of old town and right next to river. Good view up to the castle and also looking back towards the surrounding countryside."
,,€0.00,37.347234,-8.849436,Wild,Lay-by with excellent views over headland.  minutes walk from beach and town. Coastal road just right of road 1003.
,Trash,€0.00,37.295854,-8.866135,Layby,Superb view on to little cove and very popular with surfers.
,Trash,€0.00,37.196815,-8.907912,Wild,Loads of little lay-by to pull over and admire the sweeping coastline. sand dunes and coastal paths to beach.
,Trash,€0.00,37.193111,-8.902835,Mixed Parking,Large sandy car park with great access to beach.  good for fishing and surfing. Sand dunes protect the car park from Atlantic winds.
,,€0.00,37.193775,-8.913857,Wild,Dirt track all around the headland. Nice and quiet and great vantage point for a good sunset.
,Trash,€0.00,37.168794,-8.900748,Mixed Parking,Car park right in the beach with rolling hills behind. Massive beach cove which is popular with surfers in summer.  There are two car parks - low one and high one. The high one indicates campers allowed and to be fair it is were most of the campers park but don't park here as police often move people off. The lower car park seems to be the one that is ok to camp on. As we passed the higher car park we noticed the 'no Motorhome' sign had been sprayed blue by someone hence why people thought it was ok to park on.  
,Trash,€0.00,37.120536,-7.620421,Wild,Spare land at the edge of Tavira overlooking the Ilha de Tavira. There are a couple of good places to tuck in and around the castle ruins and also little lay-bys for parking on the lane itself. Great for bird watchers and strolls along beach. Small Marina a few meters away.
,,€0.00,37.097587,-7.667702,Wild,"Spare land that runs behind the football ground.  Hard, sandy ground. Slightly elevated position, so good views over estuary.  Few minutes walk in to the town where you will find plenty cafes and bars.  if you need water then you need to go to fisherman huts, it's cost €2 to fill up. The huts are located at beginning of town, near the bridge and the wafer point is right on the corner."
,Trash,€0.00,37.052335,-7.743795,Mixed Parking,"Car park which tolerates Motorhomes.  No parking 2 Sunday and 1 Thursday in each month, local market.  there is a campsite behind the car park.  Car park right on wetlands and beach area."
,Fresh WaterTrashShowers,€0.00,37.05635,-8.077197,Wild,"Quiet, secluded beach location.  Access is down a country lane that can be slightly bumpy in sections.  Right at the end of the lane is a restaurant with private car parking.  You can park on the lane or in one of the lay-bys. Beautiful stretch of beach with little lagoon just behind the dunes, ideal for bird watching.  Fresh water and showers at the end of the boardwalk.  "
,,€0.00,37.057993,-8.081296,Wild,A hidden gem! Right on the beach with stunning views out to the ocean.  Hard sandy surface but no facilities.  Lidl and services not far along main road.  Small wooden area to the rear and watering hold with birds and wildlife to west.  
Amacào de Pera,Fresh WaterGrey WaterBlack WaterTrashToilets,€1.50,37.100735,-8.354334,Rest Area & Services,"A large car park with basic service facilities.  Hard, flat surface and very clean.  Right in the beach and next to few restaurants.  Very quiet in the evening.Unfortunately we didn't get any pictures because in the morning we decided to leave.  Lots of talk about people receiving fines from the police, as it is only a car park and no overnight camping permitted.  With all the discussions and people taking random photos we decided to not chance it and move on.  "
,,€0.00,37.092533,-8.412282,Wild,"One of the most beautiful wild camping spots we've discovered on the Algarve.  As you approach you can see small sandy car park to the left, which you can park on or alternative, take a left down the sandy track and pick you own secluded spot with little garden.  "
Isla de Faro,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,37.008409,-7.994846,Mixed Parking,"Site located directly in front of the bridge connecting to Faro, mixed parking but campers are allowed, the sanitation services are to the right of the car park next to the toilets. The pretty beach is very long but narrow and will get very busy in the summer time. Nice views also looking back toward the mainland. Parking areas are also located to the left of the car park after approx 500m."
,Trash,€0.00,37.233721,-8.181328,Mixed Parking,"Parking next to the cemetery, great views out into the surrounding hills. There is also parking on the other side of the village next to the bus parking area and toilets."
Barragem do Arade,,€0.00,37.239282,-8.377741,Mixed Parking,Site is located about 10km East of Silves. Level parking area next to the reservoir wall and a derelict restaurant. No facilities but a great vantage point overlooking the Barragem do Arade. Lots of scenic walks in the area too.
,Grey WaterBlack WaterTrash,€0.00,37.186407,-8.445396,Rest Area & Services,"This aire is next to the river and very close to the centre and supermarkets, the fresh water is located near the children's play area and is a drinking fountain, waste is emptied into a grid near the entrance building."
Isla de Faro,Trash,€0.00,37.015272,-7.985455,Mixed Parking,"Site located directly at the end of Faro airports runway, gravelled parking area, peaceful as the planes are not too loud. Looks out towards Isla de Faro. Water and toilet facilities on the other side of the bridge. Good for plane spotting."
,Fresh WaterTrashGrey WaterBlack WaterToilets,€0.00,37.254407,-8.284498,Rest Area & Services,"Free Aire in middle of the town. The town aire only has spaces for four Motorhomes but there is a massive car park right behind the aire with plenty parking space, hard gravel and grass surface.  Fresh, grey and black water facility and toilet block which are maintained by the town on a daily basis.  Supermarket, bank and shops within walking distance."
,Fresh WaterGrey WaterBlack WaterTrashElectric,€0.00,37.475051,-7.474507,Rest Area & Services,"Small aire with room for about 8 vans overlooking the town.  Gravel, level surface with simple service area.  Nice and quiet with the exception of local chickens and cockerels."
,Trash,€0.00,37.4226,-7.454664,Mixed Parking,Small stone layby with couple of picnic tables with fantastic view point over Gardiana river.  No facilities but only 5 minutes drive to Alcoutim village and aire.  Great place if you like quiet locations with options for fishing on the river.
Almada d'Ouro,Fresh WaterGrey WaterBlack WaterTrashToiletsElectricWi-Fi,€0.00,37.331742,-7.468484,Rest Area & Services,"Small Aire set right in the middle of the countryside.  Elevated position, so beautiful 360 views across Portugal, river Gardiana and Spanish boarder.  Nice flat, hard ground with picnic area to the front and rear.  Bar and cafe area with reasonable prices.  Price includes water and wifi.  Electricity €2.50 per night.  Washing service €5. Discount offered for longer stay ranging from €12.50 for 3 days to €75 for 30 days.  Very clean and friendly."
,Fresh WaterGrey WaterBlack WaterTrashWi-FiElectric,€0.00,37.198856,-7.415261,Rest Area & Services,"Very large aire with barrier system.  Hard surface of broken bricks and stones, which is good for drainage but makes the overall aire quite dirty.  All usual facilities and right on harbour front.  Lidl within walking distance."
,Trash,€0.00,37.219073,-7.444579,Mixed Parking,"Gravel surface and pretty level.  Locate off main road, so can be quite noisy.  Good view of castle and fort and within easy walking distance of town bars and cafes."
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,37.219778,-7.444109,Rest Area & Services,"Free aire with Euro water and waste (token required). Tokens can be purchased from all main garages and some local stores. Small site for around 20 campers and located on the main street into Casto Marim, it's within easy access of the own and castle.  Parking also in the main town across the street with a gravel surface also pretty level. Good view of castle and fort and within easy walking distance of town bars and cafes."
,Trash,€0.00,37.174789,-7.421406,Mixed Parking,Gravek surface car park in between beach and forest.  Nice and quiet.
,,€0.00,37.177433,-7.471708,Wild,"Flat, sandy, open land at side of the beach a few metes away from small beach / restaurant car park. Two restaurants open during season and located straight on the beach.  Small mini market 500m back towards main road."
,,€0.00,37.177908,-7.470048,Wild,Flat concrete base good for a dozen wild camping spots.  Stones throw to beach and very quiet.
,,€0.00,37.158345,-7.546018,Wild,Open land on elevated but slightly sloping ground. Car park at top and grass slop at the side. Wonderful sea view and nice little village.
,Rubbish,€0.00,37.18,-7.44633,Mixed Parking,"Spare land/Car park located right next to the beach, Very close to a campsite and behind a hotel so probably only useful out of season. Bar/restaurant close by and water via a shower faucet about 200m away."
,Rubbish,€0.00,37.17679,-7.47169,Mixed Parking,"Spare land/Car park located right next to the beach, Bar/restaurant close by but may not allow overnight camping in peak periods."
Aire de Manta Rota,Fresh WaterGrey WaterBlack WaterRubbish,€0.00,37.16444,-7.52145,Rest Area & Services,"Great location straight on to the beach. Secure aire with barrier entry and exit which is manned 8 til 8 by friendly staff. €4.50 for 24 hours which includes water and wifi. Electric extra €2.50 for 12 hours.  Aire holds around 80 vans and only one water empty/fill up station, so can get quite busy in peak times.  Few bars and restaurants nearby and local retailers drive through the Aire every morning selling bread, fruit, vegetables etc. even a laundry service every afternoon. Good value for your money."
,Rubbish,€0.00,37.154053,-7.55335,Mixed Parking,Public car park with great views over the harbour. no signs to say you can or can't stay overnight.
,Rubbish,€0.00,37.03679,-7.79759,Layby,Waste land at the side of marshland looking out to Ilha de Armona. Good place to stopover but watch out for the Mosquitos which bred in the stagnant waters.
,,€0.00,37.01185,-7.93165,Mixed Parking,Good central car park for visiting the town. No facilities and no charge.
,,€0.00,37.07953,-8.27778,Layby,"Brilliant free parking spot right on head land over looking Albufeira Coast. Access to beach via little coastal path. Restaurant open during peak times.  Access road can sometimes be a little bumpy, so need to drive with caution."
,Fresh WaterGrey WaterBlack Water,€0.00,37.073311,-8.076964,Rest Area & Services,Massive Aire not far from the beach. €3 for 12 until 12 noon parking. €2 for electric and €2 for 100 litres of fresh water.
,Fresh WaterGrey WaterBlack WaterTrashElectric,€0.00,37.124937,-8.594052,Rest Area & Services,Massive spare land on the edge of town. Sandstone under foot so may be a bit boggy if wet. Costs are 4.50€ per night and electricity is 2.5€. Water services are quite good with sinks also available. Located on the edge of the beach. The village and the marina only 5 minutes walk. Great place to watch parachute landings at sunset.
,,€0.00,37.086619,-8.429868,Wild,"As you approach Benagil, keep to the road west of the ravine.  You drive through some small villas and at the end of the Tarmac road continue on the dirt track.  Within a few meters you are at your wild camping spot with fantastic views out to the ocean and over the sandy cove.  Lots of little bushes and trees to nestle yourself in and find level ground and shelter from sea breeze.  "
,Trash,€0.00,37.086615,-8.431338,Wild,As you pass through the village of Benagil continue on the dirt track and head down in to the cove on the west side.  The cove at Carvelho is very pretty.  You can park a Motorhome on the sandy path but you will need to get the chocs out but it is well worth it.  The cove has a few caves and unusual walk ways with plenty coastal gardens to meander through.  
,Trash,€0.00,37.133095,-8.017202,Mixed Parking,"Loule football ground with hard, flat but dusty surface.  "
Praia da Zambujeira,Trash,€0.00,37.52216,-8.786157,Mixed Parking,Quiet little car park right next to the beach. The town is just a couple of minutes walk away.
,Fresh WaterTrashToilets,€0.00,37.722948,-8.787284,Mixed Parking,Parking permitted on roadside with excellent views over the estuary and headland.  Public toilet facilities available in season. Water tap available year round.
Aire Porto Covo,Fresh WaterGrey WaterBlack WaterTrash,€0.00,37.851898,-8.788968,Rest Area & Services,Free aire just behind the main square. Space for around 10 vans on the aire with option for parking at the side in layby. Harbour and beach only minutes away.
,Trash,€0.00,37.897277,-8.797691,Mixed Parking,Car park on headland which is well sheltered due to sand dunes. Pretty views out to sea and looking back towards Porto Covo and its coastline.  Couple of cafes and surf school open in high season.
Praia Santo Andre,Fresh WaterTrashToilets,€0.00,38.114303,-8.797353,Mixed Parking,Fresh water tap just outside beach cafe. Lovely long beach and great for sunset.
Lago de Santo Andrė,Fresh WaterToiletsTrash,€0.00,38.113293,-8.796662,Mixed Parking,Small sandy car park at side of the lagoon. Couple of cafe bars to the rear.  Toilet and water tap a few metres away.  Great for bird lovers.
,TrashFresh Water,€0.00,38.518433,-8.903322,Mixed Parking,"Harbourside Carpark about 1.5km from the main sites of the town on the edge of the commercial harbour. Space for about 20 vans but it is mixed parking. Large park area to the rear. Fresh water tap inside the fish market, can be noisy in the morning due to the fishermen."
Doca de Alcantara,Trash,€0.00,38.70246,-9.169003,Mixed Parking,"Lisbon is a difficult place to find overnight parking. There are a couple of parking points that tolerate campers but they are too far out of Lisbon to make visiting easy and enjoyable. This car park is right on the marina, quiet location and only 2 km to centre. It is right in front of office buildings, so very quiet at weekends but you still have people walking around the marina, so not isolated. The police station is just around the corner. Difficult to get to just make sure you follow for the cruise terminal and stick to the port roads and not the main road in to Lisbon."
Belem,,€0.00,38.695606,-9.197748,Mixed Parking,"spare ground with signs showing no caravans but the police tolerate Motorhomes parking here, as long as you don't stay too long.  Can get very crowded at weekends with cars trying to park in any space possible. Location is good, right on waterfront, close to Belem attractions and access to foot bridge to other side of town.  "
Sociedade União 1. de Dezembro,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,38.787908,-9.375617,Rest Area & Services,Football ground just 1.5 km to main sites. Simple facilities and a little over priced for Portugal but quiet as long as there is no football match or training sessions.
,Toilets,€0.00,38.790421,-9.379722,Mixed Parking,"Small car park off main road but right in middle of Sao Pedro.  No parking fees and no restrictions.  Sintra streets are very narrow and windy, so easier to park at Sao Pedro and walk 1km to Sintra."
,Fresh WaterGrey WaterBlack Water,€0.00,38.91822,-9.383283,Rest Area & Services,"Level parking area with services, nothing special."
,,€0.00,38.93592,-9.326291,Mixed Parking,"Car park located right next to the Palace, parking meter charges apply but you repeatedly get a free hour by pressing the machines button. Army facility at the rear of the Palace so security shouldn't be a problem. They even said it was ok to park overnight."
,Trash,€0.00,38.677667,-8.455439,Mixed Parking,Small town car park. Free parking with no restrictions. Right outside military museum and church.  
Oz Almendres,,€0.00,38.559673,-8.061567,Wild,At the entrance to the stone circles there is a small piece of land where you can park overnight. The single track dirt road from Guadalupe to Oz Almendres is fine for campers as long as it is not raining. Be mindful of large pot holes.
,Trash,€0.00,38.576612,-7.915481,Mixed Parking,"Car park at the edge of the towns outer wall and 2 minutes to the centre, Cobbled, hard surface and mainly flat. Please note, there is no longer an aire at Evora. Space also available if you drive under the aqueduct and park on the other side."
,Trash,€0.00,38.021981,-7.874011,Mixed Parking,"Public car park with a hard, slightly sloping surface. No parking restrictions and only 1km to Beja's sights. The road at the side of the cemetery is lined with wild herbs."
,Fresh WaterTrashShowersToilets,€0.00,37.643007,-7.659537,Mixed Parking,"Car park just as you enter the town.  First few spaces are for buses but if you drive along you will find long spaces with no buses signs, which are ideal for Motorhomes.  Just off the roundabout there are public showers and toilets.  Shops, bars and cafes on either side of the road."
,Fresh WaterTrash,€0.00,37.638005,-7.661814,Mixed Parking,"Free car park right at the edge of the river.  The view up to the castle and Mèrtola is stunning especially at sunrise.  Within walking distance of the town but it is quite a steep climb.  Good hard surface which is nice and level.  Fresh water tap at the far side, right at the bottom of the walk way.  Good spot for watching birds, ducks and storks."
,Fresh WaterTrash,€0.00,37.083895,-8.913806,Wild,Spare land behind the Mercado. Great for topping up with free fresh water and good place for exploring the town of Bispo. Tradition style washing area also in the town with lots of taps available.
Water tap,,€0.00,37.088547,-8.912613,Service Only,Water tap at the back of the Mercado and also at the municipal washing area.
Praia da Cordoama,,€0.00,37.108824,-8.935918,Mixed Parking,"Nice spot with a large car park at the beach side, also small broken ground area to one side, this site would also offer some shade in the afternoon and evening because of the surrounding hills. There is also a restaurant on the beach."
Praia do Castelejo,TrashFresh WaterToilets,€0.00,37.099454,-8.944346,Mixed Parking,"Small amount of park beside the beach, no facilities but a very nice spot, restaurant on beach. Parking option also 100m up the hill for a few vans."
Praia de Belicha,Trash,€0.00,37.026764,-8.963164,Wild,Open land with no facilities but good view of lighthouse and fort. 
Capo do Vincente lighthouse,Trash,€0.00,37.023428,-8.99488,Mixed Parking,Loose stone car park at the entrance to St Vincente lighthouse...most northerly point of mainland Europe and once considered the end of the world.
Fortaleza,Trash,€0.00,37.0039,-8.9451,Mixed Parking,Loose stone car park at the entrance to St Vincente lighthouse...most northerly point of mainland Europe and once considered the end of the world.
Forest and Picnic area,Trash,€0.00,37.091457,-8.930839,Wild,"Great area in between Vila Do Bispo and the beaches with BBQ facilities and a children's play area, greats walks to the surrounding areas."
Praia da Ingrina,,€0.00,37.04667,-8.878463,Wild,"Lovely small cove/beach area, parking on one side and a restaurant on the other with parking out of season. No facilities but great views."
Praia de Figueira,Trash,€0.00,37.060595,-8.840341,Wild,Road to this beach is full of pot holes and small piece of land which is occupied by long term campers. Very good beach cove though.
Praia do Cabanas,Trash,€0.00,37.06692,-8.5958,Mixed Parking,Car park half of which belongs to a beach restaurant. Nice beach cove and good for 1 night.
        ,Trash,€0.00,37.08679,-8.68814,Wild,Spare land beside a hotel and apartment complexes right next to the beach. Local restaurants also very close by.
Parque Emcomar,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectricWi-Fi,€0.00,37.120341,-8.530563,Rest Area & Services,"Good Aire with mixed, tarmac, stone and loose ground pitches. Very close to the beach and only 2.7km from Portemao. Fresh water is €2.00 for 110 litres, electric is €2.00 for 24hrs. Free shower and toilet block. Free wifi but very slow. Onsite bar/cafe with very reasonably priced drinks and food."
,,€0.00,37.314462,-8.378088,Wild,Little bit of land beside the main road in between two cracking cork trees and overlooking the hills and valleys.
,,€1.00,46.220096,24.795385,Mixed Parking,Free car park
Campsite,Fresh WaterBlack WaterGrey WaterTrashToiletsShowersElectric,€18.00,46.223037,24.796466,Campsite,Campsite
,,€0.00,47.051803,21.966627,Wild,Car park opposite the a fantastic Monastery 
,,€0.00,47.053833,21.932984,Mixed Parking,On street parking right in town centre. Free at weekends.  €1 per hour during the week.
Turda Gorge,Fresh Water,€0.00,46.561061,23.691443,Wild,"Grassy area idea for visiting the gorge, fresh water is available at the spring."
,,€0.00,45.797662,24.147241,Mixed Parking,"On street parking but free, very close to centre."
Camping De Oude Wilg,,,45.784401,24.567482,,Great Dutch campsite close to the base of the Transfagarasan Highway.
Transfagarasen,,€1.00,45.345504,24.634644,Mixed Parking,Good spot for visiting Vlads castle. Grassy area next to stream.
,,€0.00,46.890863,22.888913,Mixed Parking,Large parking area near a restaurant.
